show; showed; shown; показывать
forget; forgot; forgotten; забывать
dream; dreamt; dreamt; грезить-мечтать
strike; struck; struck; ударить-бить-бастовать
become; became; become; становиться
bear; bore; born; родить
spend; spent; spent; тратить
lend; lent; lent; одалживать
rise; rose; risen; подняться
speed; sped; sped; ускорять-спешить
run; ran; run; бежать-течь
learn; learnt; learnt; учить
hide; hid; hidden; прятать(ся)
cut; cut; cut; резать
ring; rang; rung; звонить
upset; upset; upset; опрокинуть(ся)
meet; met; met; встретить
drink; drank; drunk; пить
write; wrote; written; писать
choose; chose; chosen; выбирать
sell; sold; sold; продавать
put; put; put; класть
overlay; overlaid; overlaid; покры(ва)ть
give; gave; given; давать
withdraw; withdrew; withdrawn; взять-назад-отозвать
freeze; froze; frozen; замерзать
do; did; done; делать
forgive; forgave; forgiven; прощать
draw; drew; drawn; рисовать-тащить
catch; caught; caught; ловить
sink; sank; sunk; погружаться-тонуть
sit; sat; sat; сидеть
fly; flew; flown; летать
hurt; hurt; hurt; причинить-боль
sing; sang; sung; петь
go; went; gone; идти
wake; woke; woken; просыпаться-будить
steal; stole; stolen; красть
throw; threw; thrown; бросить
hit; hit; hit; ударять; попадать
feel; felt; felt; чувствовать
forbid; forbad; forbidden; запрещать
misspell; misspelt; misspelt; писать-с-ошибками
blow; blew; blown; дуть
stand; stood; stood; стоять
light; lit; lit; освещать
mistake; mistook; mistaken; ошибаться
buy; bought; bought; покупать
hang; hung; hung; вешать
feed; fed; fed; кормить
wed; wed; wed; выдавать-замуж
can; could; could; мочь-уметь
may; might; might; мочь-иметь-возможность
underlie; underlay; underlain; лежать-в-основе
rid; rid; rid; избавлять
shine; shone; shone; светить-сиять
hear; heard; heard; слушать
knit; knit; knit; вязать
come; came; come; приходить
get; got; got; получать
speak; spoke; spoken; говорить
understand; understood; understood; понимать
hold; held; held; держать
find; found; found; находить
fit; fit; fit; подходить-по-размеру
break; broke; broken; ломать
shut; shut; shut; закрывать
lie; lay; lain; лежать
be; was; were; been; быть
bring; brought; brought; приносить
make; made; made; делать-производить
leave; left; left; оставить
bleed; bled; bled; кровоточить
see; saw; seen; видеть
cost; cost; cost; стоить
ride; rode; ridden; ездить-верхом
have; had; had; иметь
begin; began; begun; начинать
swim; swam; swum; плавать
tell; told; told; рассказывать-сказать
build; built; built; строить
know; knew; known; знать
spoil; spoilt; spoilt; портить
shuf iregular_verbs2.csv
sweep; swept; swept; мести-промчаться
eat; ate; eaten; кушать; есть
shake; shook; shaken; трясти
say; said; said; говорить-сказать
keep; kept; kept; хранить-содержать
shoot; shot; shot; стрелять-давать-побеги
misunderstand; misunderstood; misunderstood; неправильно-понимать
fight; fought; fought; сражаться-бороться
lead; led; led; вести
undergo; underwent; undergone; проходить-подвергаться
drive; drove; driven; водить(машину-etc)
sleep; slept; slept; спать
undo; undid; undone; уничтожать-сделанное
pay; paid; paid; платить

think; thought; thought; думать
bind; bound; bound; связать
prove; proved; proved; доказывать-оказаться
bite; bit; bit; кусать
spell; spelt; spell; писать/читать-по-буквам
let; let; let; позволять
lose; lost; lost; терять
mean; meant; meant; подразумевать
wear; wore; worn; носить(одежду)
send; sent; sent; посылать
set; set; set; ставить-устанавливать
fall; fell; fallen; падать
lay; laid; laid; класть-положить
take; took; taken; взять-брать
win; won; won; выигрывать
beat; beat; beaten; бить
smell; smelt; smelt; пахнуть-нюхать
spread; spread; spread; распространиться
read; read; read; читать
shave; shaved; shaved; брить(ся)
burn; burnt; burnt; гореть
grow; grew; grown; расти
wet; wet; wet; мочить-увлажнять
swear; swore; sworn; клясться-присягнуть
teach; taught; taught; учить
